# Time-averaged data for fix msd_out
# TimeStep c_msd_co2[1] c_msd_co2[2] c_msd_co2[3] c_msd_co2[4]
11800 0.925674 0.504582 0.290943 1.7212
11900 0.897573 0.496519 0.322981 1.71707
12000 0.843677 0.488022 0.292377 1.62408
12100 0.763947 0.476071 0.245656 1.48567
12200 0.805507 0.47527 0.271941 1.55272
12300 0.842432 0.514062 0.28453 1.64102
12400 0.876298 0.530445 0.26341 1.67015
12500 0.891172 0.565139 0.280875 1.73719
12600 0.882619 0.554527 0.28754 1.72469
12700 0.848115 0.502668 0.25193 1.60271
12800 0.825563 0.465395 0.255618 1.54658
12900 0.83207 0.486981 0.235095 1.55415
13000 0.797921 0.483415 0.172119 1.45345
13100 0.763869 0.4716 0.155888 1.39136
13200 0.771287 0.458702 0.16682 1.39681
13300 0.755694 0.459766 0.162683 1.37814
13400 0.737644 0.484887 0.170231 1.39276
13500 0.734553 0.520505 0.195674 1.45073
13600 0.777824 0.522238 0.198372 1.49843
13700 0.835385 0.517661 0.197571 1.55062
13800 0.868407 0.519656 0.210764 1.59883
13900 0.876539 0.549782 0.217085 1.64341
14000 0.889649 0.579774 0.234025 1.70345
14100 0.873175 0.610434 0.252024 1.73563
14200 0.890526 0.65345 0.263018 1.80699
14300 0.971884 0.646665 0.254483 1.87303
14400 1.0285 0.639443 0.246656 1.9146
14500 1.06078 0.678029 0.221383 1.96019
14600 1.06427 0.73065 0.184248 1.97917
14700 1.02559 0.748279 0.178358 1.95222
14800 1.00471 0.706005 0.237556 1.94827
14900 1.00306 0.676883 0.226054 1.906
15000 0.967052 0.625677 0.185206 1.77793
15100 0.927178 0.601187 0.164154 1.69252
15200 0.823546 0.636569 0.184728 1.64484
15300 0.757995 0.622065 0.171759 1.55182
15400 0.709583 0.620407 0.17871 1.5087
15500 0.712757 0.645205 0.20563 1.56359
15600 0.738532 0.610776 0.211439 1.56075
15700 0.785668 0.600165 0.213709 1.59954
15800 0.774166 0.614351 0.20559 1.59411
15900 0.763259 0.600902 0.202579 1.56674
16000 0.739516 0.6058 0.217294 1.56261
16100 0.748017 0.608899 0.229998 1.58691
16200 0.770276 0.541616 0.229525 1.54142
16300 0.79392 0.510573 0.20249 1.50698
16400 0.752572 0.516679 0.195239 1.46449
16500 0.722 0.557105 0.234179 1.51328
16600 0.705109 0.585286 0.229526 1.51992
16700 0.763444 0.565029 0.234897 1.56337
16800 0.839305 0.514184 0.266692 1.62018
16900 0.904271 0.505508 0.262546 1.67232
17000 0.890297 0.547477 0.253061 1.69084
17100 0.876775 0.614612 0.290085 1.78147
17200 0.887901 0.648214 0.30743 1.84355
17300 0.957528 0.633099 0.314658 1.90529
17400 1.00708 0.586852 0.332132 1.92606
17500 1.01861 0.574296 0.332579 1.92549
17600 1.00508 0.604006 0.301441 1.91052
17700 0.934259 0.65967 0.299418 1.89335
17800 0.874628 0.670244 0.304751 1.84962
17900 0.931165 0.638169 0.315908 1.88524
18000 0.982118 0.625641 0.318062 1.92582
18100 1.00584 0.621956 0.290829 1.91863
18200 1.03591 0.671477 0.233518 1.9409
18300 1.09084 0.747124 0.199614 2.03757
18400 1.16053 0.729597 0.196304 2.08643
18500 1.2341 0.754076 0.226733 2.2149
18600 1.22912 0.811729 0.233694 2.27454
18700 1.20318 0.876244 0.22293 2.30235
18800 1.1683 0.945057 0.227387 2.34074
18900 1.21088 0.949229 0.275025 2.43514
19000 1.26613 0.914139 0.285337 2.4656
19100 1.27844 0.918734 0.257086 2.45426
19200 1.23136 0.941792 0.299185 2.47234
19300 1.22917 0.972514 0.316628 2.51831
19400 1.21134 0.97536 0.251705 2.43841
19500 1.15743 0.899872 0.254296 2.31159
19600 1.09646 0.821028 0.297173 2.21466
19700 1.06012 0.794122 0.319105 2.17335
19800 0.979667 0.785035 0.326638 2.09134
19900 0.948311 0.813242 0.302403 2.06396
20000 0.992915 0.844714 0.259913 2.09754
20100 1.0734 0.870727 0.264954 2.20908
20200 1.16194 0.865878 0.321984 2.3498
20300 1.21309 0.915196 0.342304 2.47059
20400 1.24181 0.988684 0.33439 2.56488
20500 1.23997 1.04741 0.34838 2.63576
20600 1.22792 1.05135 0.293878 2.57314
20700 1.27099 0.993623 0.201314 2.46593
20800 1.36499 0.85897 0.202109 2.42607
20900 1.3527 0.81501 0.237968 2.40568
21000 1.25197 0.850217 0.205645 2.30783
21100 1.15634 0.885381 0.182896 2.22462
21200 1.11296 0.86649 0.226996 2.20645
21300 1.08709 0.831085 0.238061 2.15624
21400 1.11696 0.792 0.221585 2.13055
21500 1.15771 0.796547 0.248905 2.20317
21600 1.1574 0.812198 0.287136 2.25674
21700 1.12974 0.846047 0.243631 2.21941
21800 1.12951 0.868826 0.204351 2.20268
21900 1.09793 0.881354 0.227999 2.20728
22000 1.07544 0.895458 0.239756 2.21065
22100 1.05142 0.945389 0.247992 2.2448
22200 1.05384 0.910901 0.254521 2.21927
22300 1.08981 0.866602 0.232786 2.1892
22400 1.13465 0.829656 0.231404 2.19571
22500 1.11203 0.832878 0.252088 2.19699
22600 1.04463 0.878983 0.235705 2.15932
22700 1.02523 0.970127 0.227878 2.22324
22800 1.07518 0.973833 0.253248 2.30226
22900 1.13567 0.930641 0.224404 2.29071
23000 1.20045 0.946406 0.176875 2.32374
23100 1.19403 0.963363 0.181556 2.33895
23200 1.16289 0.976251 0.206749 2.34589
23300 1.12434 1.03891 0.209466 2.37272
23400 1.12951 0.978137 0.227389 2.33503
23500 1.15258 0.899498 0.228745 2.28083
23600 1.17832 0.866218 0.205694 2.25024
23700 1.11928 0.836662 0.157382 2.11332
23800 1.06065 0.815231 0.140433 2.01632
23900 1.07288 0.865313 0.175177 2.11337
24000 1.09846 0.851581 0.200489 2.15053
24100 1.08572 0.863443 0.215055 2.16422
24200 1.16219 0.89178 0.237731 2.2917
24300 1.22154 0.879501 0.255058 2.3561
24400 1.26116 0.834584 0.262464 2.35821
24500 1.31077 0.866789 0.246971 2.42453
24600 1.351 0.83902 0.214245 2.40427
24700 1.29709 0.806912 0.223589 2.32759
24800 1.22001 0.766207 0.237293 2.22351
24900 1.14231 0.72598 0.23573 2.10402
25000 1.08703 0.708931 0.238019 2.03398
25100 1.04339 0.710559 0.260527 2.01447
25200 1.03516 0.676527 0.247036 1.95872
25300 1.04413 0.674657 0.193931 1.91272
25400 1.04714 0.661562 0.187631 1.89633
25500 1.08061 0.668776 0.177958 1.92734
25600 1.12613 0.722501 0.184112 2.03274
25700 1.14911 0.723278 0.225561 2.09795
25800 1.17343 0.747395 0.246365 2.16719
25900 1.19832 0.811381 0.23145 2.24115
26000 1.19959 0.812205 0.21657 2.22837
26100 1.23935 0.826364 0.197874 2.26359
26200 1.37654 0.922295 0.17255 2.47139
26300 1.43346 0.916247 0.176039 2.52575
26400 1.45075 0.894341 0.186866 2.53196
